period,sd,exit,n,mean,null,edge,p,hold
20,1.5,10d,3304,0.5118444957476789,0.4615507730140257,0.05029372273365318,0.3594009983361065,11.0
10,1.5,5d,4573,0.21350020254906688,0.1646615640123436,0.04883863853672327,0.28452579034941766,6.0
20,2.0,10d,2080,0.5034987427482229,0.4558421112822618,0.04765663146596111,0.3910149750415973,11.0
20,2.0,5d,2080,0.20895817959218263,0.16424662183449731,0.044711557757685316,0.3777038269550749,6.0
14,1.5,10d,3870,0.4655041658848712,0.46292132791402074,0.00258283797085046,0.49750415973377704,11.0
20,1.5,5d,3304,0.1721363338111981,0.17453116965120352,-0.0023948358400054104,0.49584026622296173,6.0
10,2.5,bb_mid,574,0.17622203011460807,0.2802277655050962,-0.10400573539048813,0.6222961730449251,8.0
14,1.5,5d,3870,0.055895256596245994,0.16534350000754602,-0.10944824341130002,0.8618968386023295,6.0
10,2.5,5d,574,0.03745836927758652,0.17231143553866995,-0.13485306626108343,0.6838602329450915,6.0
14,2.5,5d,909,-0.016103943859346083,0.1545035444537044,-0.17060748831305048,0.7820299500831946,6.0
20,3.0,10d,305,0.2114780524844274,0.4831034103243602,-0.2716253578399328,0.6855241264559068,11.0
14,2.5,10d,909,0.11966303644996922,0.4686511934821376,-0.34898815703216834,0.8968386023294509,11.0
10,2.5,20d,574,0.4923718863318095,1.0752585283112277,-0.5828866419794182,0.891846921797005,21.0
20,3.0,5d,305,-0.46663060162051245,0.14963009116348314,-0.6162606927839955,0.9534109816971714,6.0
20,3.0,bb_upper,305,2.476703469940683,3.2414500794946535,-0.7647466095539706,0.7587354409317804,60.0
10,2.5,10d,574,-0.34890353419037085,0.45388623133888634,-0.8027897655292572,0.9950083194675541,11.0
10,2.5,40d,573,1.1168259027454446,2.221941440802974,-1.1051155380575293,0.9683860232945092,41.0
14,2.5,bb_upper,909,2.041847160351038,3.232574924359774,-1.1907277640087361,0.961730449251248,60.0
10,2.5,bb_upper,574,1.3365515473694343,3.304424770383265,-1.967873223013831,0.9916805324459235,60.0
